Position,Player,Matches,Innings,Not_Outs,Total_Runs,Batting_Average,Balls_Faced,Strike_Rate,Centuries,Fifties,Fours,Sixes,Highest_Score,Not_Out,Calculated_Avg
125,Mohammad Shami,8,2,2,2,0.0,4,50.0,0,0,0,0,2,1,
126,Dale Steyn,1,1,0,1,1.0,2,50.0,0,0,0,0,1,0,1.0
127,Kane Richardson,4,1,1,1,0.0,1,100.0,0,0,0,0,1,1,
128,Shahbaz Nadeem,4,1,1,1,0.0,5,20.0,0,0,0,0,1,1,
129,Shadab Jakati,6,1,1,1,0.0,2,50.0,0,0,0,0,1,1,
130,Ashish Nehra,8,2,2,1,0.0,1,100.0,0,0,0,0,1,1,
131,Morne Morkel,10,2,2,1,0.0,1,100.0,0,0,0,0,1,1,
132,Swapnil Singh,1,1,0,0,0.0,1,0.0,0,0,0,0,0,1,0.0
133,Unmukt Chand,1,1,0,0,0.0,4,0.0,0,0,0,0,0,1,0.0
134,Adam Zampa,5,1,0,0,0.0,1,0.0,0,0,0,0,0,1,0.0
135,Shivil Kaushik,7,2,1,0,0.0,1,0.0,0,0,0,0,0,1,0.0
136,Murugan Ashwin,10,1,0,0,0.0,1,0.0,0,0,0,0,0,1,0.0
